node,node,weight
思群堂,群贤堂,7
思群堂,计算机中心,2
群贤堂,图书馆逸夫楼,3
群贤堂,商学院楼,7
图书馆逸夫楼,地理馆,6
图书馆逸夫楼,心理与认知科学学院楼,9
地理馆,物理楼,10
地理馆,法学院楼,10
物理楼,化学实验楼,2
物理楼,音乐学院楼,5
化学实验楼,生物实验楼,7
化学实验楼,美术学院楼,9
生物实验楼,行政楼,10
生物实验楼,马克思主义学院楼,6
行政楼,教育学部楼,3
行政楼,河口海岸大楼,6
教育学部楼,信息楼,8
教育学部楼,国际教育中心,4
信息楼,档案馆,6
计算机中心,商学院楼,1
计算机中心,校史馆,9
商学院楼,心理与认知科学学院楼,7
商学院楼,丽娃河,2
心理与认知科学学院楼,法学院楼,7
心理与认知科学学院楼,丽虹桥,10
法学院楼,音乐学院楼,3
法学院楼,共青场,1
音乐学院楼,美术学院楼,7
音乐学院楼,体育健康楼,6
美术学院楼,马克思主义学院楼,10
美术学院楼,足球场,7
马克思主义学院楼,河口海岸大楼,7
马克思主义学院楼,篮球场,10
河口海岸大楼,国际教育中心,8
河口海岸大楼,排球场,8
国际教育中心,档案馆,9
国际教育中心,百花园餐厅,4
档案馆,银之春西餐厅,1
校史馆,丽娃河,9
校史馆,申云轩餐厅,5
丽娃河,丽虹桥,4
丽娃河,河西食堂,9
丽虹桥,共青场,1
丽虹桥,河东食堂,1
共青场,体育健康楼,8
共青场,丽娃食堂,10
体育健康楼,足球场,1
体育健康楼,华闵餐厅,2
足球场,篮球场,4
足球场,秋实阁,2
篮球场,排球场,9
篮球场,秋林阁,5
排球场,百花园餐厅,6
排球场,校医院,8
百花园餐厅,银之春西餐厅,8
百花园餐厅,学生活动中心,1
银之春西餐厅,学术交流中心,6
申云轩餐厅,河西食堂,8
申云轩餐厅,第一教学楼,3
河西食堂,河东食堂,7
河西食堂,第二教学楼,4
河东食堂,丽娃食堂,3
河东食堂,第三教学楼,7
丽娃食堂,华闵餐厅,5
丽娃食堂,第四教学楼,4
华闵餐厅,秋实阁,7
华闵餐厅,实验A楼,9
秋实阁,秋林阁,8
秋实阁,实验B楼,2
秋林阁,校医院,7
秋林阁,实验教学中心,9
