node,node,weight
东操场,河东浴室,2
河东浴室,莲花路警卫室,1
足球场,篮球场,5
法学院楼,法商楼,10
校史馆,地理馆,8
地理馆,马克思主义学院楼,4
第二教学楼,团委,1
心理健康教育与咨询中心,审计处,5
莲花路警卫室,物理楼,1
秋林阁,本科生公寓5号楼,7
桃李园广场,心中书社,6
银之春西餐厅,基建处,1
后勤保障部,校园警卫室,5
数统楼,校园警卫室,10
资产管理处,校史馆,1
生物实验楼,梅陇井,1
物理信息楼,研究生公寓2号楼,3
教育学部楼,体育健康楼,1
本科生公寓3号楼,本科生公寓6号楼,5
第一教学楼,本科生公寓3号楼,8
科技处,田径场,6
崇真书院,基建处,5
资产管理处,桃李园广场,10
心理与认知科学学院楼,美术学院楼,4
校史馆,秋实阁,9
东操场,丽娃河,5
研究生公寓1号楼,心理健康教育与咨询中心,6
计算机中心,行政楼,1
人事处,研究生公寓1号楼,2
秋林阁,翔华书店,1
综合体育馆,心中书社,5
资产管理处,中北校区大门,4
丽娃浴室,河东食堂,10
本科生公寓4号楼,丽娃浴室,5
实验教学中心,行政楼,1
崇真书院,体育健康楼,7
音乐学院楼,第四教学楼,9
足球场,柳长桥,7
审计处,丽娃浴室,9
闵行校区大门,河西浴室,5
学校办公室,商学院楼,6
银之春西餐厅,SPF实验动物中心,9
本科生公寓5号楼,实验B楼,5
梅陇井,人事处,2
西操场,学生资助管理中心,1
游泳馆,团委,10
心理与认知科学学院楼,丽娃湖,4
校史馆,审计处,6
统计学院楼,档案馆,8
学生活动中心,思群堂,1
本科生公寓3号楼,中北校区大门,3
秋林阁,研究生公寓4号楼,9
秋实阁,团委,5
学校办公室,统计学院楼,9
科技处,本科生公寓1号楼,6
研究生公寓3号楼,学术交流中心,4
百花园餐厅,心理健康教育与咨询中心,3
西操场,地理馆,10
本科生公寓2号楼,物理信息楼,6
法商楼,群贤堂,9
SPF实验动物中心,本科生公寓3号楼,1
音乐学院楼,秋实阁,6
综合体育馆,法学院楼,4
百花园餐厅,研究生公寓1号楼,6
图书馆逸夫楼,人文学院楼,10
学生活动中心,第一教学楼,6
闵行校区大门,中北校区大门,4
第二教学楼,研究生公寓4号楼,5
游泳馆,生物实验楼,9
丽娃食堂,申云轩餐厅,10
紫竹广场,生物实验楼,5
校史馆,柳长桥,10
物理楼,东操场,2
丽娃食堂,校园警卫室,7
梅陇井,翔华书店,8
第四教学楼,物理楼,8
学生活动中心,审计处,2
人事处,群贤堂,9
丽娃浴室,学校办公室,8
学校办公室,第三教学楼,10
地理馆,研究生公寓1号楼,2
实验A楼,研究生公寓1号楼,6
本科生公寓4号楼,人文学院楼,10
游泳馆,研究生公寓1号楼,4
闵行校区大门,莲花路警卫室,10
地理馆,图书馆逸夫楼,9
后勤保障部,闵行图书馆,5
计算机中心,生命科学学院楼,1
人事处,信息楼,8
紫竹广场,法商楼,4
学生资助管理中心,物理楼,2
柳长桥,计算机中心,1
美术学院楼,银之春西餐厅,10
丽娃河,百花园餐厅,5
秋实阁,排球场,6
崇真书院,地理馆,10
实验教学中心,翔华书店,6
审计处,共青场,10
外语学院楼,后勤保障部,2
第三教学楼,学生资助管理中心,7
河西食堂,学生活动中心,10
篮球场,资产管理处,10
中北校区大门,物理信息楼,9
本科生公寓4号楼,外语学院楼,10
紫竹广场,美术学院楼,5
秋实阁,柳长桥,10
紫竹广场,秋林阁,8
法学院楼,田径场,8
信息楼,华闵餐厅,5
第三教学楼,篮球场,3
基建处,商学院楼,9
物理信息楼,第四教学楼,2
百花园餐厅,秋实阁,1
本科生公寓3号楼,计算机中心,4
研究生公寓1号楼,丽娃浴室,10
研究生公寓1号楼,学校办公室,6
河口海岸大楼,物理楼,6
虹梅路警卫室,SPF实验动物中心,1
游泳馆,研究生公寓2号楼,8
实验教学中心,青年教师公寓,7
第三教学楼,紫竹广场,6
统计学院楼,生命科学学院楼,7
群贤堂,音乐学院楼,9
校史馆,物理信息楼,5
丽虹桥,后勤保障部,8
人文学院楼,心理健康教育与咨询中心,1
篮球场,思群堂,10
物理信息楼,学生活动中心,7
音乐学院楼,河西食堂,9
百花园餐厅,篮球场,7
心中书社,群贤堂,9
游泳馆,人事处,7
虹梅路警卫室,河东浴室,9
游泳馆,生命科学学院楼,5
研究生公寓4号楼,河东食堂,5
丽娃浴室,排球场,1
银之春西餐厅,田径场,7
外语学院楼,科技处,7
河东浴室,闵行图书馆,2
秋实阁,心中书社,1
心理与认知科学学院楼,丽娃浴室,2
外语学院楼,学校办公室,8
丽娃食堂,崇真书院,3
校医院,校史馆,9
立体停车库,审计处,9
学术交流中心,数统楼,8
本科生公寓1号楼,秋实阁,2
实验B楼,丽娃河,8
档案馆,第四教学楼,3
研究生公寓4号楼,基建处,4
崇真书院,审计处,5
人事处,田径场,2
莲花路警卫室,学校办公室,1
田径场,立体停车库,7
数统楼,心理与认知科学学院楼,9
生命科学学院楼,足球场,3
紫竹广场,思群堂,6
丽娃浴室,翔华书店,4
审计处,物理信息楼,9
第二教学楼,秋林阁,5
田径场,体育健康楼,10
本科生公寓2号楼,人事处,6
本科生公寓4号楼,数统楼,3
崇真书院,学生活动中心,4
立体停车库,学生资助管理中心,1
本科生公寓4号楼,审计处,1
学校办公室,华闵餐厅,9
申云轩餐厅,国际教育中心,5
研究生公寓4号楼,河西浴室,2
统计学院楼,翔华书店,9
校史馆,丽娃湖,3
桃李园广场,审计处,6
足球场,基建处,8
数统楼,丽虹桥,4
马克思主义学院楼,化学实验楼,8
华闵餐厅,校医院,8
青年教师公寓,教育学部楼,10
田径场,研究生公寓4号楼,8
丽娃河,人文学院楼,9
综合体育馆,学术交流中心,2
河东浴室,河东食堂,4
申云轩餐厅,本科生公寓3号楼,2
东操场,丽娃湖,4
SPF实验动物中心,外语学院楼,6
计算机中心,秋林阁,8
青年教师公寓,河西食堂,1
虹梅路警卫室,实验A楼,8
综合体育馆,科技处,3
研究生公寓2号楼,人文学院楼,4
本科生公寓4号楼,基建处,1
研究生公寓1号楼,数统楼,2
河西食堂,本科生公寓3号楼,9
银之春西餐厅,人文学院楼,10
丽娃河,信息楼,2
信息楼,生命科学学院楼,7
生命科学学院楼,群贤堂,4
法商楼,闵行校区大门,7
本科生公寓3号楼,青年教师公寓,7
研究生公寓1号楼,虹梅路警卫室,9
学生活动中心,河东食堂,6
资产管理处,校园警卫室,5
秋实阁,化学实验楼,8
河西浴室,学校办公室,4
共青场,桃李园广场,10
银之春西餐厅,本科生公寓3号楼,5
梅陇井,统计学院楼,1
体育健康楼,学校办公室,4
