name,type,weight
思群堂,1,30
群贤堂,1,16
图书馆逸夫楼,5,7
地理馆,5,5
物理楼,1,45
化学实验楼,1,11
生物实验楼,1,49
行政楼,1,50
教育学部楼,1,41
信息楼,1,34
计算机中心,6,7
商学院楼,1,19
心理与认知科学学院楼,1,45
法学院楼,1,21
音乐学院楼,1,37
美术学院楼,1,12
马克思主义学院楼,1,17
河口海岸大楼,4,5
国际教育中心,6,43
档案馆,5,17
校史馆,5,15
丽娃河,4,34
丽虹桥,4,35
共青场,5,13
体育健康楼,5,37
足球场,5,13
篮球场,5,38
排球场,5,18
百花园餐厅,6,32
银之春西餐厅,6,15
申云轩餐厅,6,20
河西食堂,2,35
河东食堂,2,28
丽娃食堂,2,15
华闵餐厅,6,17
秋实阁,6,12
秋林阁,6,21
校医院,6,36
学生活动中心,6,49
学术交流中心,6,18
第一教学楼,1,47
第二教学楼,1,6
第三教学楼,1,24
第四教学楼,1,22
实验A楼,1,9
实验B楼,1,26
实验教学中心,6,40
物理信息楼,1,31
法商楼,1,6
闵行图书馆,5,23
人文学院楼,1,43
统计学院楼,1,48
生命科学学院楼,1,26
数统楼,1,10
外语学院楼,1,17
田径场,5,29
游泳馆,5,39
崇真书院,6,40
桃李园广场,4,25
青年教师公寓,3,13
本科生公寓1号楼,3,14
本科生公寓2号楼,3,33
本科生公寓3号楼,3,10
本科生公寓4号楼,3,28
本科生公寓5号楼,3,15
本科生公寓6号楼,3,33
研究生公寓1号楼,3,13
研究生公寓2号楼,3,26
研究生公寓3号楼,3,26
研究生公寓4号楼,3,24
SPF实验动物中心,6,5
信息化办公室,6,20
后勤保障部,6,22
基建处,6,16
科技处,6,16
审计处,6,11
资产管理处,6,18
人事处,6,30
学校办公室,6,41
团委,6,21
学生资助管理中心,6,12
心理健康教育与咨询中心,6,28
校园警卫室,6,46
莲花路警卫室,6,7
虹梅路警卫室,6,29
立体停车库,6,16
闵行校区大门,6,44
中北校区大门,6,49
丽娃湖,4,20
柳长桥,4,36
梅陇井,6,47
紫竹广场,4,41
心中书社,6,22
翔华书店,6,13
河西浴室,4,25
河东浴室,4,13
丽娃浴室,6,5
西操场,5,26
东操场,5,12
综合体育馆,5,47
